*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Jan 16 20:33:28 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Earth-Moon Barycenter (3)       {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Nov-16 09:03:00.0000 TDB
Stop  time      : A.D. 2022-Dec-11 17:21:14.7640 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459899.877083333, A.D. 2022-Nov-16 09:03:00.0000,  3.815214993527456E+03, -3.020515074546847E+03, -4.440397474041692E+02,  7.043221977299382E-03,  9.471080057435428E-03,  1.954777126342948E-04,  1.629915413049575E-02,  4.886363480102172E+03, -3.730655479792911E-04,
2459899.918750000, A.D. 2022-Nov-16 10:03:00.0000,  3.840415735602292E+03, -2.986297485429130E+03, -4.433180627533993E+02,  6.957085646281776E-03,  9.538575034630438E-03,  2.054568758834358E-04,  1.629463049533534E-02,  4.885007328398337E+03, -3.803482922073287E-04,
2459899.960416667, A.D. 2022-Nov-16 11:03:00.0000,  3.865305259516726E+03, -2.951838177450103E+03, -4.425604678636245E+02,  6.870323763252325E-03,  9.605367384776884E-03,  2.154277342144018E-04,  1.629001954486876E-02,  4.883625000224248E+03, -3.876078480420399E-04,
2459900.002083333, A.D. 2022-Nov-16 12:03:00.0000,  3.889881321557489E+03, -2.917139690097658E+03, -4.417669938348149E+02,  6.782940931347870E-03,  9.671451535935899E-03,  2.253896193395630E-04,  1.628532156416189E-02,  4.882216581040496E+03, -3.948431137446814E-04,
2459900.043750000, A.D. 2022-Nov-16 13:03:00.0000,  3.914141694653025E+03, -2.882204582912516E+03, -4.409376741767190E+02,  6.694941792934539E-03,  9.736821919583210E-03,  2.353418607737587E-04,  1.628053685152535E-02,  4.880782160278364E+03, -4.020529851386950E-04,
2459900.085416667, A.D. 2022-Nov-16 14:03:00.0000,  3.938084168515871E+03, -2.847035435475944E+03, -4.400725448168486E+02,  6.606331030249901E-03,  9.801472970606769E-03,  2.452837857943226E-04,  1.627566571854303E-02,  4.879321831348350E+03, -4.092363557498488E-04,
2459900.127083333, A.D. 2022-Nov-16 15:03:00.0000,  3.961706549787365E+03, -2.811634847397457E+03, -4.391716441086035E+02,  6.517113366055037E-03,  9.865399127320094E-03,  2.552147194015584E-04,  1.627070849009878E-02,  4.877835691648181E+03, -4.163921169482090E-04,
2459900.168750000, A.D. 2022-Nov-16 16:03:00.0000,  3.985006662184717E+03, -2.776005438302430E+03, -4.382350128395384E+02,  6.427293564296352E-03,  9.928594831491716E-03,  2.651339842796932E-04,  1.626566550440143E-02,  4.876323842570315E+03, -4.235191580920347E-04,
2459900.210416667, A.D. 2022-Nov-16 17:03:00.0000,  4.007982346650484E+03, -2.740149847819586E+03, -4.372626942397733E+02,  6.336876430776882E-03,  9.991054528390978E-03,  2.750409007583336E-04,  1.626053711300810E-02,  4.874786389508923E+03, -4.306163666735843E-04,
2459900.252083333, A.D. 2022-Nov-16 18:03:00.0000,  4.030631461504477E+03, -2.704070735568288E+03, -4.362547339905361E+02,  6.245866813836889E-03,  1.005277266685058E-02,  2.849347867744630E-04,  1.625532368084573E-02,  4.873223441866347E+03, -4.376826284669250E-04,
