*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Jan 16 20:33:54 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth-Moon Barycenter (3)       {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Nov-16 09:03:00.0000 TDB
Stop  time      : A.D. 2022-Dec-11 17:21:14.7640 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459899.877083333, A.D. 2022-Nov-16 09:03:00.0000, -3.101791468609580E+05,  2.455695918822567E+05,  3.610068377688907E+04, -5.726179488645770E-01, -7.700041903407907E-01, -1.589244911180671E-02,  1.325130492339067E+00,  3.972641274690792E+05, -3.033044103458057E-02,
2459899.918750000, A.D. 2022-Nov-16 10:03:00.0000, -3.122279815112455E+05,  2.427876824438166E+05,  3.604201040470472E+04, -5.656150162083305E-01, -7.754915703388421E-01, -1.670376075433705E-02,  1.324762718230099E+00,  3.971538715649629E+05, -3.092253227853187E-02,
2459899.960416667, A.D. 2022-Nov-16 11:03:00.0000, -3.142515139482516E+05,  2.399861211246022E+05,  3.598041750968432E+04, -5.585612258180692E-01, -7.809218263585975E-01, -1.751439720230052E-02,  1.324387845337126E+00,  3.970414874989408E+05, -3.151273829292966E-02,
2459900.002083333, A.D. 2022-Nov-16 12:03:00.0000, -3.162495617568124E+05,  2.371651143864219E+05,  3.591590762027308E+04, -5.514569519314333E-01, -7.862945053982607E-01, -1.832430412353342E-02,  1.324005896836163E+00,  3.969269822190077E+05, -3.210096950578790E-02,
2459900.043750000, A.D. 2022-Nov-16 13:03:00.0000, -3.182219438747450E+05,  2.343248703213909E+05,  3.584848346083266E+04, -5.443025719754275E-01, -7.916091547336443E-01, -1.913342700721110E-02,  1.323616896980036E+00,  3.968103629959777E+05, -3.268713614692497E-02,
2459900.085416667, A.D. 2022-Nov-16 14:03:00.0000, -3.201684806044227E+05,  2.314655986509321E+05,  3.577814795229009E+04, -5.370984666186260E-01, -7.968653219179765E-01, -1.994171116059845E-02,  1.323220871100691E+00,  3.966916374241773E+05, -3.327114825935756E-02,
2459900.127083333, A.D. 2022-Nov-16 15:03:00.0000, -3.220889936245400E+05,  2.285875107247759E+05,  3.570490421279860E+04, -5.298450198241889E-01, -8.020625547829864E-01, -2.074910170583671E-02,  1.322817845611370E+00,  3.965708134220970E+05, -3.385291571084147E-02,
2459900.168750000, A.D. 2022-Nov-16 16:03:00.0000, -3.239833060020695E+05,  2.256908195199540E+05,  3.562875555840958E+04, -5.225426189036655E-01, -8.072004014412968E-01, -2.155554357676859E-02,  1.322407848008642E+00,  3.964478992330013E+05, -3.443234820557244E-02,
